CIK,Filing Type,Date,File
895516,10-Q,2006-02-09,Out_Files/10-Q/0000922423-06-000187.txt
895516,8-K,2006-01-06,Out_Files/8-K/0000922423-06-000028.txt
895516,8-K,2006-01-30,Out_Files/8-K/0000922423-06-000134.txt
895516,8-K,2006-02-06,Out_Files/8-K/0000922423-06-000160.txt
895516,10-Q,2006-05-10,Out_Files/10-Q/0000922423-06-000670.txt
895516,8-K,2006-05-18,Out_Files/8-K/0000922423-06-000744.txt
895516,8-K,2006-06-07,Out_Files/8-K/0001157523-06-005891.txt
895516,8-K,2006-07-20,Out_Files/8-K/0001157523-06-007084.txt
895516,8-K,2006-07-28,Out_Files/8-K/0001157523-06-007548.txt
895516,8-K,2006-08-09,Out_Files/8-K/0001157523-06-008247.txt
895516,8-K,2006-09-15,Out_Files/8-K/0001157523-06-009230.txt
895516,8-K,2006-10-02,Out_Files/8-K/0001157523-06-009589.txt
895516,8-K,2006-11-15,Out_Files/8-K/0001157523-06-011404.txt
895516,8-K,2006-12-07,Out_Files/8-K/0001157523-06-011978.txt
895516,8-K,2006-12-19,Out_Files/8-K/0001157523-06-012249.txt
895516,8-K,2007-01-11,Out_Files/8-K/0001157523-07-000202.txt
895516,8-K,2007-01-11,Out_Files/8-K/0001157523-07-000205.txt
895516,8-K,2007-01-11,Out_Files/8-K/0001157523-07-000218.txt
895516,8-K,2007-01-25,Out_Files/8-K/0001157523-07-000615.txt
1298978,10-K,2006-03-10,Out_Files/10-K/0001193125-06-050914.txt
1298978,8-K,2006-02-10,Out_Files/8-K/0001193125-06-026878.txt
1298978,8-K,2006-02-28,Out_Files/8-K/0001193125-06-041350.txt
1298978,10-Q,2006-05-10,Out_Files/10-Q/0001193125-06-106886.txt
1298978,8-K,2006-04-20,Out_Files/8-K/0001193125-06-084627.txt
1298978,8-K,2006-05-09,Out_Files/8-K/0001193125-06-105428.txt
1298978,10-Q,2006-08-02,Out_Files/10-Q/0001193125-06-159095.txt
1298978,8-K,2006-07-25,Out_Files/8-K/0001193125-06-152640.txt
1298978,10-Q,2006-11-03,Out_Files/10-Q/0001193125-06-223256.txt
1298978,8-K,2006-10-31,Out_Files/8-K/0001193125-06-219181.txt
1298978,10-K,2007-03-05,Out_Files/10-K/0001193125-07-045677.txt
1298978,8-K,2007-01-24,Out_Files/8-K/0001193125-07-011876.txt
1298978,8-K,2007-02-16,Out_Files/8-K/0001193125-07-034041.txt
1298978,8-K,2007-02-22,Out_Files/8-K/0001193125-07-037097.txt
1334036,10-K,2006-03-31,Out_Files/10-K/0001047469-06-004382.txt
1334036,8-K,2006-03-02,Out_Files/8-K/0001104659-06-013555.txt
1334036,10-K,2006-05-01,Out_Files/10-K/0001047469-06-006041.txt
1334036,10-Q,2006-05-15,Out_Files/10-Q/0001104659-06-035002.txt
1334036,8-K,2006-04-06,Out_Files/8-K/0001104659-06-022629.txt
1334036,8-K,2006-04-17,Out_Files/8-K/0001104659-06-025507.txt
1334036,10-Q,2006-08-14,Out_Files/10-Q/0001104659-06-054218.txt
1334036,8-K,2006-08-03,Out_Files/8-K/0001047469-06-010343.txt
1334036,8-K,2006-08-04,Out_Files/8-K/0001047469-06-010414.txt
1334036,10-Q,2006-11-13,Out_Files/10-Q/0001104659-06-074169.txt
1334036,8-K,2006-10-05,Out_Files/8-K/0001104659-06-064946.txt
1334036,8-K,2006-11-02,Out_Files/8-K/0001104659-06-070769.txt
1334036,8-K,2006-12-07,Out_Files/8-K/0001104659-06-080185.txt
1334036,8-K,2007-02-16,Out_Files/8-K/0001104659-07-011971.txt
1334036,8-K,2007-02-20,Out_Files/8-K/0001104659-07-012299.txt
1075736,10-Q,2006-05-05,Out_Files/10-Q/0001188112-06-001332.txt
1075736,8-K,2006-05-04,Out_Files/8-K/0001157523-06-004610.txt
1075736,8-K,2006-05-18,Out_Files/8-K/0001104659-06-036057.txt
1075736,10-K,2006-09-12,Out_Files/10-K/0001104659-06-060526.txt
1075736,8-K,2006-08-28,Out_Files/8-K/0001104659-06-057583.txt
1075736,8-K,2006-09-05,Out_Files/8-K/0001104659-06-059270.txt
1075736,8-K,2006-09-07,Out_Files/8-K/0001157523-06-009042.txt
1075736,10-Q,2006-11-08,Out_Files/10-Q/0001104659-06-072891.txt
1075736,8-K,2006-10-05,Out_Files/8-K/0001104659-06-065050.txt
1075736,8-K,2006-11-07,Out_Files/8-K/0001157523-06-010993.txt
1075736,8-K,2006-12-26,Out_Files/8-K/0001104659-06-083920.txt
1075736,10-Q,2007-02-08,Out_Files/10-Q/0001104659-07-008711.txt
1075736,8-K,2007-01-09,Out_Files/8-K/0001104659-07-001586.txt
1075736,8-K,2007-01-17,Out_Files/8-K/0001104659-07-002738.txt
1075736,8-K,2007-01-29,Out_Files/8-K/0001104659-07-005132.txt
1075736,10-Q,2007-05-10,Out_Files/10-Q/0001104659-07-037844.txt
1075736,8-K,2007-05-07,Out_Files/8-K/0001157523-07-004654.txt
1075736,8-K,2007-05-17,Out_Files/8-K/0001104659-07-041084.txt
1075736,8-K,2007-05-29,Out_Files/8-K/0001104659-07-043582.txt
771999,10-Q,2006-05-15,Out_Files/10-Q/0001144204-06-020501.txt
771999,8-K,2006-05-10,Out_Files/8-K/0001144204-06-019210.txt
771999,8-K,2006-05-19,Out_Files/8-K/0001144204-06-021590.txt
771999,8-K,2006-06-01,Out_Files/8-K/0001144204-06-023249.txt
771999,10-Q,2006-08-14,Out_Files/10-Q/0001144204-06-033225.txt
771999,8-K,2006-08-14,Out_Files/8-K/0001144204-06-033213.txt
771999,10-Q,2006-11-14,Out_Files/10-Q/0001144204-06-047569.txt
771999,8-K,2006-12-27,Out_Files/8-K/0001144204-06-054618.txt
771999,8-K,2006-11-20,Out_Files/8-K/0001144204-06-049361.txt
771999,8-K,2006-12-27,Out_Files/8-K/0001144204-06-054593.txt
771999,10-K,2007-03-29,Out_Files/10-K/0001144204-07-015325.txt
771999,8-K,2007-02-05,Out_Files/8-K/0001144204-07-005195.txt
771999,8-K,2007-03-08,Out_Files/8-K/0001144204-07-011781.txt
771999,8-K,2007-03-23,Out_Files/8-K/0001144204-07-014316.txt
771999,10-Q,2007-05-15,Out_Files/10-Q/0001144204-07-025669.txt
771999,8-K,2007-04-02,Out_Files/8-K/0001144204-07-016023.txt
771999,8-K,2007-05-14,Out_Files/8-K/0001144204-07-025017.txt
771999,8-K,2007-06-14,Out_Files/8-K/0001144204-07-031922.txt
1020996,10-Q,2006-05-10,Out_Files/10-Q/0001157523-06-004996.txt
1020996,8-K,2006-04-25,Out_Files/8-K/0001157523-06-004014.txt
1020996,8-K,2006-05-03,Out_Files/8-K/0001157523-06-004522.txt
1020996,10-K,2006-09-12,Out_Files/10-K/0001157523-06-009132.txt
1020996,8-K,2006-07-06,Out_Files/8-K/0001157523-06-006637.txt
1020996,8-K,2006-08-01,Out_Files/8-K/0001157523-06-007666.txt
1020996,10-Q,2006-11-09,Out_Files/10-Q/0001157523-06-011104.txt
1020996,8-K,2006-10-31,Out_Files/8-K/0001157523-06-010553.txt
1020996,10-Q,2007-02-09,Out_Files/10-Q/0001157523-07-001348.txt
1020996,8-K,2007-01-24,Out_Files/8-K/0001157523-07-000551.txt
1020996,8-K,2007-03-22,Out_Files/8-K/0000950123-07-004308.txt
1020996,10-Q,2007-05-10,Out_Files/10-Q/0001157523-07-004963.txt
1020996,8-K,2007-05-08,Out_Files/8-K/0001157523-07-004762.txt
1020996,8-K,2007-06-12,Out_Files/8-K/0001157523-07-006036.txt
855424,10-Q,2006-05-15,Out_Files/10-Q/0001003297-06-000184.txt
855424,8-K,2006-04-07,Out_Files/8-K/0001003297-06-000134.txt
855424,8-K,2006-05-15,Out_Files/8-K/0001003297-06-000186.txt
855424,8-K,2006-06-15,Out_Files/8-K/0001003297-06-000252.txt
855424,10-Q,2006-08-14,Out_Files/10-Q/0001003297-06-000346.txt
855424,8-K,2006-07-13,Out_Files/8-K/0001003297-06-000284.txt
855424,8-K,2006-07-31,Out_Files/8-K/0001003297-06-000322.txt
855424,8-K,2006-08-04,Out_Files/8-K/0001003297-06-000328.txt
855424,10-Q,2006-11-14,Out_Files/10-Q/0000950134-06-021623.txt
855424,8-K,2006-10-16,Out_Files/8-K/0001003297-06-000393.txt
855424,8-K,2006-10-17,Out_Files/8-K/0001003297-06-000395.txt
855424,8-K,2006-10-20,Out_Files/8-K/0000950134-06-019351.txt
855424,10-K,2007-03-19,Out_Files/10-K/0000950134-07-006030.txt
855424,8-K,2007-01-29,Out_Files/8-K/0001362310-07-000065.txt
855424,8-K,2007-03-05,Out_Files/8-K/0001362310-07-000218.txt
855424,10-Q,2007-05-10,Out_Files/10-Q/0001362310-07-000778.txt
855424,8-K,2007-04-03,Out_Files/8-K/0001362310-07-000403.txt
855424,8-K,2007-05-10,Out_Files/8-K/0001362310-07-000761.txt
855424,8-K,2007-05-24,Out_Files/8-K/0001362310-07-000920.txt
855424,8-K,2006-06-16,Out_Files/8-K/0001003297-06-000254.txt
855424,8-K,2006-06-26,Out_Files/8-K/0001003297-06-000260.txt
855424,8-K,2006-08-14,Out_Files/8-K/0001003297-06-000347.txt
855424,8-K,2006-08-23,Out_Files/8-K/0001003297-06-000353.txt
855424,8-K,2006-09-14,Out_Files/8-K/0001003297-06-000371.txt
855424,8-K,2006-11-01,Out_Files/8-K/0001003297-06-000408.txt
855424,8-K,2006-11-07,Out_Files/8-K/0001003297-06-000417.txt
855424,8-K,2006-11-14,Out_Files/8-K/0000950134-06-021487.txt
855424,8-K,2006-12-18,Out_Files/8-K/0001362310-06-000418.txt
1075736,8-K,2007-02-06,Out_Files/8-K/0001157523-07-001136.txt
1075736,8-K,2007-03-01,Out_Files/8-K/0001104659-07-015071.txt
1075736,8-K,2007-03-21,Out_Files/8-K/0001104659-07-021051.txt
1075736,8-K,2007-03-22,Out_Files/8-K/0001104659-07-021687.txt
1075736,8-K,2007-06-27,Out_Files/8-K/0001104659-07-050476.txt
910329,10-Q,2006-05-15,Out_Files/10-Q/0001144204-06-020480.txt
910329,10-Q,2006-08-14,Out_Files/10-Q/0001144204-06-033243.txt
910329,8-K,2006-08-14,Out_Files/8-K/0001275287-06-004410.txt
910329,8-K,2006-09-25,Out_Files/8-K/0001144204-06-039648.txt
910329,10-Q,2006-11-14,Out_Files/10-Q/0001144204-06-047482.txt
910329,8-K,2006-10-02,Out_Files/8-K/0001275287-06-005020.txt
910329,10-K,2007-03-16,Out_Files/10-K/0001144204-07-013149.txt
910329,8-K,2007-01-05,Out_Files/8-K/0001275287-07-000067.txt
910329,8-K,2007-02-12,Out_Files/8-K/0001275287-07-000666.txt
910329,8-K,2007-03-01,Out_Files/8-K/0001144204-07-010629.txt
910329,10-K,2007-05-02,Out_Files/10-K/0001144204-07-022266.txt
910329,10-Q,2007-05-10,Out_Files/10-Q/0001144204-07-024089.txt
910329,8-K,2007-06-14,Out_Files/8-K/0001144204-07-031893.txt
1085770,10-Q,2006-08-07,Out_Files/10-Q/0000950124-06-004238.txt
1085770,8-K,2006-08-03,Out_Files/8-K/0001157523-06-007927.txt
1085770,10-K,2006-10-18,Out_Files/10-K/0000950124-06-005969.txt
1085770,10-K,2006-11-07,Out_Files/10-K/0000950124-06-006558.txt
1085770,10-Q,2006-11-07,Out_Files/10-Q/0000950124-06-006517.txt
1085770,8-K,2006-11-02,Out_Files/8-K/0001157523-06-010778.txt
1085770,10-K,2007-03-05,Out_Files/10-K/0000950124-07-001310.txt
1085770,8-K,2007-02-22,Out_Files/8-K/0001157523-07-001926.txt
1085770,8-K,2007-03-13,Out_Files/8-K/0000950124-07-001465.txt
1085770,10-Q,2007-05-03,Out_Files/10-Q/0000950124-07-002658.txt
1085770,8-K,2007-04-23,Out_Files/8-K/0000950134-07-008754.txt
1085770,8-K,2007-05-02,Out_Files/8-K/0001157523-07-004366.txt
1085770,8-K,2007-06-20,Out_Files/8-K/0000950134-07-013694.txt
1085770,10-Q,2007-08-03,Out_Files/10-Q/0000950134-07-016681.txt
1085770,8-K,2007-07-02,Out_Files/8-K/0000950134-07-014523.txt
1085770,8-K,2007-08-03,Out_Files/8-K/0001157523-07-007780.txt
1085770,8-K,2007-09-17,Out_Files/8-K/0001157523-07-009224.txt
1126752,8-K,2006-07-18,Out_Files/8-K/0001164150-06-000165.txt
1126752,8-K,2006-07-25,Out_Files/8-K/0001164150-06-000174.txt
1126752,8-K,2006-08-04,Out_Files/8-K/0001164150-06-000178.txt
1126752,8-K,2006-08-04,Out_Files/8-K/0001164150-06-000179.txt
1126752,10-Q,2006-11-14,Out_Files/10-Q/0001164150-06-000294.txt
1126752,10K,2007-04-03,Out_Files/10K/0001164150-07-000043.txt
1126752,10-Q,2007-05-15,Out_Files/10-Q/0001164150-07-000055.txt
910329,8-K,2007-03-07,Out_Files/8-K/0001275287-07-001183.txt
910329,10-K,2007-09-06,Out_Files/10-K/0001144204-07-048231.txt
910329,10-K,2007-09-06,Out_Files/10-K/0001144204-07-048233.txt
910329,10-Q,2007-09-06,Out_Files/10-Q/0001144204-07-048235.txt
910329,10-Q,2007-08-09,Out_Files/10-Q/0001144204-07-041607.txt
1075736,10-K,2007-09-05,Out_Files/10-K/0001104659-07-067095.txt
1075736,8-K,2007-07-05,Out_Files/8-K/0001104659-07-052470.txt
1075736,8-K,2007-07-30,Out_Files/8-K/0001104659-07-057203.txt
1075736,8-K,2007-08-07,Out_Files/8-K/0001104659-07-059558.txt
945114,10-Q,2006-12-06,Out_Files/10-Q/0000899681-06-000754.txt
945114,10-Q,2006-12-26,Out_Files/10-Q/0000899681-06-000777.txt
945114,8-K,2006-10-12,Out_Files/8-K/0000899681-06-000602.txt
945114,8-K,2006-11-27,Out_Files/8-K/0000899681-06-000723.txt
945114,10-K,2007-03-30,Out_Files/10-K/0000899681-07-000268.txt
945114,8-K,2007-01-19,Out_Files/8-K/0000899681-07-000044.txt
945114,8-K,2007-03-20,Out_Files/8-K/0000899681-07-000246.txt
945114,10-Q,2007-05-10,Out_Files/10-Q/0001104659-07-038162.txt
945114,8-K,2007-05-10,Out_Files/8-K/0000899681-07-000360.txt
945114,10-Q,2007-08-09,Out_Files/10-Q/0001104659-07-060968.txt
945114,8-K,2007-08-09,Out_Files/8-K/0000899681-07-000582.txt
945114,10-Q,2007-11-09,Out_Files/10-Q/0001104659-07-081726.txt
945114,8-K,2007-11-08,Out_Files/8-K/0000899681-07-000755.txt
1232229,10-K,2006-10-20,Out_Files/10-K/0000950153-06-002575.txt
1232229,10-Q,2006-10-20,Out_Files/10-Q/0000950153-06-002574.txt
1232229,10-Q,2006-11-09,Out_Files/10-Q/0000950153-06-002765.txt
1232229,8-K,2006-10-20,Out_Files/8-K/0000950153-06-002573.txt
1232229,10-Q,2007-02-16,Out_Files/10-Q/0000950153-07-000349.txt
1232229,10-Q,2007-02-14,Out_Files/10-Q/0000950124-07-000824.txt
1232229,8-K,2007-02-06,Out_Files/8-K/0000950153-07-000230.txt
1232229,8-K,2007-01-03,Out_Files/8-K/0000950153-07-000012.txt
1232229,10-Q,2007-05-11,Out_Files/10-Q/0000950134-07-011165.txt
1232229,8-K,2007-04-02,Out_Files/8-K/0000950153-07-000696.txt
1232229,8-K,2007-04-02,Out_Files/8-K/0000950153-07-000700.txt
1232229,8-K,2007-04-12,Out_Files/8-K/0001157523-07-003493.txt
1232229,10-K,2007-09-13,Out_Files/10-K/0000950153-07-001977.txt
1232229,8-K,2007-07-16,Out_Files/8-K/0001157523-07-006859.txt
1232229,8-K,2007-07-25,Out_Files/8-K/0000950153-07-001560.txt
1232229,8-K,2007-07-30,Out_Files/8-K/0000950153-07-001604.txt
1232229,10-Q,2007-11-15,Out_Files/10-Q/0000950153-07-002438.txt
1232229,10-Q,2007-11-14,Out_Files/10-Q/0000950153-07-002424.txt
1232229,8-K,2007-12-14,Out_Files/8-K/0000950153-07-002634.txt
1232229,8-K,2007-10-04,Out_Files/8-K/0000950153-07-002117.txt
1232229,8-K,2006-10-12,Out_Files/8-K/0000950153-06-002523.txt
1232229,8-K,2006-11-01,Out_Files/8-K/0000950153-06-002669.txt
1232229,8-K,2006-11-02,Out_Files/8-K/0001157523-06-010771.txt
1232229,8-K,2006-11-21,Out_Files/8-K/0000950153-06-002878.txt
1232229,8-K,2007-01-08,Out_Files/8-K/0001157523-07-000125.txt
1232229,8-K,2007-02-08,Out_Files/8-K/0001157523-07-001252.txt
1232229,10-Q,2007-02-12,Out_Files/10-Q/0000950153-07-000271.txt
1232229,8-K,2007-05-02,Out_Files/8-K/0000950153-07-000955.txt
1232229,8-K,2007-05-10,Out_Files/8-K/0001157523-07-004983.txt
1232229,8-K,2007-05-24,Out_Files/8-K/0000950153-07-001218.txt
1232229,10-Q,2007-05-11,Out_Files/10-Q/0000950134-07-011163.txt
1232229,8-K,2007-08-29,Out_Files/8-K/0000950134-07-019151.txt
1232229,8-K,2007-09-12,Out_Files/8-K/0001157523-07-009130.txt
1232229,8-K,2007-09-28,Out_Files/8-K/0000950153-07-002072.txt
1232229,8-K,2007-10-23,Out_Files/8-K/0000950153-07-002183.txt
1232229,8-K,2007-11-01,Out_Files/8-K/0000950153-07-002251.txt
1232229,8-K,2007-11-13,Out_Files/8-K/0000950153-07-002400.txt
1232229,8-K,2007-11-28,Out_Files/8-K/0000950124-07-006031.txt
1035267,10-Q,2006-10-27,Out_Files/10-Q/0001193125-06-217047.txt
1035267,8-K,2006-10-26,Out_Files/8-K/0001193125-06-215905.txt
1035267,10-K,2007-02-15,Out_Files/10-K/0001193125-07-032981.txt
1035267,8-K,2007-01-09,Out_Files/8-K/0001193125-07-003174.txt
1035267,8-K,2007-02-01,Out_Files/8-K/0001193125-07-018337.txt
1035267,10-Q,2007-04-23,Out_Files/10-Q/0001193125-07-086724.txt
1035267,8-K,2007-04-19,Out_Files/8-K/0001193125-07-085280.txt
1035267,8-K,2007-06-25,Out_Files/8-K/0001193125-07-141634.txt
1035267,10-Q,2007-07-20,Out_Files/10-Q/0001193125-07-158965.txt
1035267,8-K,2007-07-13,Out_Files/8-K/0001193125-07-154749.txt
1035267,8-K,2007-07-19,Out_Files/8-K/0001193125-07-158221.txt
1035267,10-Q,2007-10-19,Out_Files/10-Q/0001193125-07-222158.txt
1035267,8-K,2007-10-18,Out_Files/8-K/0001193125-07-221276.txt
1035267,8-K,2007-10-25,Out_Files/8-K/0001193125-07-224962.txt
1035267,8-K,2007-12-10,Out_Files/8-K/0001193125-07-261618.txt
945114,10-K,2008-03-13,Out_Files/10-K/0001104659-08-017417.txt
945114,8-K,2008-01-10,Out_Files/8-K/0000922423-08-000042.txt
945114,8-K,2008-03-13,Out_Files/8-K/0000922423-08-000316.txt
1090507,10-Q,2007-05-10,Out_Files/10-Q/0001072613-07-001091.txt
1090507,8-K,2007-04-13,Out_Files/8-K/0001013816-07-000202.txt
1090507,8-K,2007-04-25,Out_Files/8-K/0001013816-07-000215.txt
1090507,8-K,2007-05-08,Out_Files/8-K/0001013816-07-000240.txt
1090507,10-Q,2007-08-09,Out_Files/10-Q/0001072613-07-001815.txt
1090507,8-K,2007-07-19,Out_Files/8-K/0001013816-07-000342.txt
1090507,8-K,2007-08-02,Out_Files/8-K/0001013816-07-000347.txt
1090507,8-K,2007-08-08,Out_Files/8-K/0001072613-07-001788.txt
1090507,10-Q,2007-11-09,Out_Files/10-Q/0001072613-07-002670.txt
1090507,8-K,2007-10-09,Out_Files/8-K/0001072613-07-002315.txt
1090507,8-K,2007-10-16,Out_Files/8-K/0001013816-07-000403.txt
1090507,8-K,2007-11-08,Out_Files/8-K/0001072613-07-002622.txt
1090507,10-K,2008-03-17,Out_Files/10-K/0001072613-08-000726.txt
1090507,8-K,2008-01-04,Out_Files/8-K/0001013816-08-000020.txt
1090507,8-K,2008-01-04,Out_Files/8-K/0001072613-08-000030.txt
1090507,8-K,2008-01-16,Out_Files/8-K/0001013816-08-000040.txt
1090507,10-Q,2008-05-13,Out_Files/10-Q/0001072613-08-001158.txt
1090507,8-K,2008-04-09,Out_Files/8-K/0001013816-08-000150.txt
1090507,8-K,2008-04-22,Out_Files/8-K/0001013816-08-000152.txt
1090507,8-K,2008-04-28,Out_Files/8-K/0001072613-08-001027.txt
1090507,8-K,2007-05-09,Out_Files/8-K/0001072613-07-001074.txt
1090507,8-K,2007-06-07,Out_Files/8-K/0001072613-07-001292.txt
1090507,8-K,2007-08-14,Out_Files/8-K/0001013816-07-000360.txt
1090507,8-K,2007-08-20,Out_Files/8-K/0001013816-07-000367.txt
1090507,8-K,2007-11-14,Out_Files/8-K/0001013816-07-000425.txt
1090507,8-K,2007-11-19,Out_Files/8-K/0001013816-07-000439.txt
1090507,8-K,2007-11-28,Out_Files/8-K/0001072613-07-002877.txt
1090507,8-K,2007-12-03,Out_Files/8-K/0001013816-07-000451.txt
1090507,8-K,2008-02-20,Out_Files/8-K/0001013816-08-000075.txt
1090507,8-K,2008-03-17,Out_Files/8-K/0001013816-08-000125.txt
1090507,8-K,2008-05-01,Out_Files/8-K/0001072613-08-001063.txt
1090507,8-K,2008-05-09,Out_Files/8-K/0001013816-08-000172.txt
1090507,8-K,2008-05-13,Out_Files/8-K/0001072613-08-001156.txt
1090507,8-K,2008-06-03,Out_Files/8-K/0001072613-08-001313.txt
318259,8-K,2007-04-27,Out_Files/8-K/0001157523-07-004167.txt
318259,8-K,2007-05-07,Out_Files/8-K/0000950134-07-010399.txt
318259,8-K,2007-06-27,Out_Files/8-K/0000318259-07-000005.txt
318259,8-K,2007-07-16,Out_Files/8-K/0000318259-07-000008.txt
318259,8-K,2007-08-13,Out_Files/8-K/0000318259-07-000019.txt
318259,10-Q,2007-11-13,Out_Files/10-Q/0000318259-07-000027.txt
318259,8-K,2007-12-13,Out_Files/8-K/0000318259-07-000039.txt
318259,8-K,2007-12-26,Out_Files/8-K/0000318259-07-000041.txt
318259,8-K,2007-10-16,Out_Files/8-K/0000318259-07-000023.txt
318259,10K,2008-03-31,Out_Files/10K/0000318259-08-000022.txt
318259,8-K,2008-01-18,Out_Files/8-K/0000318259-08-000002.txt
318259,8-K,2008-02-19,Out_Files/8-K/0000318259-08-000016.txt
318259,8-K,2008-02-15,Out_Files/8-K/0000318259-08-000014.txt
318259,10-Q,2008-05-15,Out_Files/10-Q/0000318259-08-000044.txt
318259,10K,2008-04-24,Out_Files/10K/0000318259-08-000036.txt
318259,8-K,2008-04-01,Out_Files/8-K/0000318259-08-000024.txt
318259,8-K,2008-04-24,Out_Files/8-K/0000318259-08-000038.txt
874501,10-Q,2007-05-10,Out_Files/10-Q/0001193125-07-109601.txt
874501,8-K,2007-04-25,Out_Files/8-K/0001193125-07-089612.txt
874501,10-Q,2007-08-09,Out_Files/10-Q/0001193125-07-177238.txt
874501,8-K,2007-07-25,Out_Files/8-K/0001193125-07-161371.txt
874501,8-K,2007-08-03,Out_Files/8-K/0001193125-07-170276.txt
874501,10-Q,2007-11-09,Out_Files/10-Q/0001193125-07-241938.txt
874501,8-K,2007-10-11,Out_Files/8-K/0001193125-07-216610.txt
874501,8-K,2007-10-24,Out_Files/8-K/0001193125-07-224389.txt
874501,8-K,2007-10-30,Out_Files/8-K/0001193125-07-229654.txt
874501,10-K,2008-02-29,Out_Files/10-K/0001193125-08-043920.txt
874501,8-K,2008-01-16,Out_Files/8-K/0000898822-08-000080.txt
874501,8-K,2008-01-18,Out_Files/8-K/0001193125-08-008498.txt
874501,8-K,2008-01-22,Out_Files/8-K/0001193125-08-009397.txt
874501,10-Q,2008-05-12,Out_Files/10-Q/0001193125-08-111759.txt
874501,8-K,2008-04-23,Out_Files/8-K/0001193125-08-087537.txt
874501,8-K,2008-05-09,Out_Files/8-K/0001193125-08-108233.txt
874501,8-K,2008-05-28,Out_Files/8-K/0001193125-08-123081.txt
814585,10-Q,2007-05-04,Out_Files/10-Q/0001193125-07-102764.txt
814585,8-K,2007-04-02,Out_Files/8-K/0001157523-07-003228.txt
814585,8-K,2007-04-26,Out_Files/8-K/0001157523-07-004110.txt
814585,8-K,2007-05-09,Out_Files/8-K/0001193125-07-108084.txt
814585,10-Q,2007-08-08,Out_Files/10-Q/0001193125-07-175023.txt
814585,8-K,2007-07-26,Out_Files/8-K/0001157523-07-007288.txt
814585,8-K,2007-07-26,Out_Files/8-K/0001157523-07-007289.txt
814585,8-K,2007-07-30,Out_Files/8-K/0001193125-07-165339.txt
814585,10-Q,2007-11-09,Out_Files/10-Q/0001193125-07-242154.txt
814585,8-K,2007-10-25,Out_Files/8-K/0001157523-07-010215.txt
814585,8-K,2007-12-06,Out_Files/8-K/0001157523-07-011978.txt
814585,8-K,2007-12-13,Out_Files/8-K/0001193125-07-264853.txt
814585,10-K,2008-02-29,Out_Files/10-K/0001193125-08-042602.txt
814585,8-K,2008-01-09,Out_Files/8-K/0001193125-08-003512.txt
814585,8-K,2008-01-09,Out_Files/8-K/0001193125-08-003513.txt
814585,8-K,2008-01-14,Out_Files/8-K/0001193125-08-005857.txt
814585,10-Q,2008-05-12,Out_Files/10-Q/0001193125-08-110580.txt
814585,8-K,2008-05-07,Out_Files/8-K/0001193125-08-104552.txt
814585,8-K,2008-05-12,Out_Files/8-K/0001157523-08-004141.txt
814585,8-K,2008-05-30,Out_Files/8-K/0001193125-08-125452.txt
1059556,10-Q,2007-05-03,Out_Files/10-Q/0001193125-07-100193.txt
1059556,8-K,2007-04-25,Out_Files/8-K/0001157523-07-004006.txt
1059556,10-Q,2007-08-03,Out_Files/10-Q/0001193125-07-170649.txt
1059556,8-K,2007-08-01,Out_Files/8-K/0001157523-07-007585.txt
1059556,8-K,2007-08-14,Out_Files/8-K/0001193125-07-181612.txt
1059556,8-K,2007-09-13,Out_Files/8-K/0001193125-07-200737.txt
1059556,10-Q,2007-11-02,Out_Files/10-Q/0001193125-07-233901.txt
1059556,8-K,2007-10-04,Out_Files/8-K/0001193125-07-213468.txt
1059556,8-K,2007-10-09,Out_Files/8-K/0001193125-07-215463.txt
1059556,8-K,2007-10-24,Out_Files/8-K/0001157523-07-010141.txt
1059556,10-K,2008-02-29,Out_Files/10-K/0001193125-08-042583.txt
1059556,8-K,2008-01-07,Out_Files/8-K/0001193125-08-002520.txt
1059556,8-K,2008-02-07,Out_Files/8-K/0001157523-08-001033.txt
1059556,8-K,2008-02-12,Out_Files/8-K/0001193125-08-027542.txt
1059556,10-Q,2008-05-08,Out_Files/10-Q/0001193125-08-108065.txt
1059556,8-K,2008-04-23,Out_Files/8-K/0001157523-08-003151.txt
1324105,10-Q,2007-11-13,Out_Files/10-Q/0001104659-07-082163.txt
1324105,8-K,2007-11-13,Out_Files/8-K/0001104659-07-082161.txt
1324105,10-K,2008-03-12,Out_Files/10-K/0001104659-08-016837.txt
1324105,8-K,2008-01-15,Out_Files/8-K/0001104659-08-002640.txt
1324105,8-K,2008-02-28,Out_Files/8-K/0001104659-08-013830.txt
1324105,10-K,2008-04-29,Out_Files/10-K/0001104659-08-027917.txt
1324105,10-Q,2008-05-06,Out_Files/10-Q/0001104659-08-030280.txt
1324105,8-K,2008-05-23,Out_Files/8-K/0001104659-08-035611.txt
1324105,10-Q,2008-08-05,Out_Files/10-Q/0001104659-08-049976.txt
1324105,8-K,2008-07-02,Out_Files/8-K/0001104659-08-043559.txt
1324105,8-K,2008-07-15,Out_Files/8-K/0001104659-08-045540.txt
1324105,8-K,2008-08-05,Out_Files/8-K/0001104659-08-049966.txt
1324105,10-Q,2008-11-10,Out_Files/10-Q/0001104659-08-069719.txt
1324105,8-K,2008-10-06,Out_Files/8-K/0001104659-08-062289.txt
1324105,8-K,2008-11-10,Out_Files/8-K/0001104659-08-069742.txt
1005010,10-Q,2007-10-29,Out_Files/10-Q/0001144204-07-056790.txt
1005010,8-K,2007-10-23,Out_Files/8-K/0001144204-07-055743.txt
